x,y,width,height
-0.7678672,-1.6892012,0.05,0.032971428571428575
-0.9708482,-1.440582,0.05,0.03218571428571428
-0.9590825,-1.527058,0.05,0.03324285714285714
-0.7764767,-1.4583762,0.05,0.032785714285714286
0.25339964,0.09493502,0.05,0.025671428571428574
-0.5420792,0.15284362,0.05,0.03421428571428572
0.869011,0.030583818,0.04705714285714286,0.035242857142857145
1.2987312,0.4651823,0.04728571428571429,0.03541428571428572
-0.055384364,-0.10553975,0.05,0.024714285714285716
0.6339089,-1.3131757,0.034942857142857144,0.05
-1.569745,1.4551196,0.0355,0.05
-1.4179659,-1.5239296,0.03467142857142857,0.04421428571428571
1.4287052,0.798293,0.04811428571428572,0.03508571428571429
0.059725452,-0.0037382748,0.05,0.026942857142857143
-0.20524134,-0.9148008,0.013714285714285715,0.013942857142857144
-1.70136,0.50685704,0.032,0.04952857142857143
-2.0308435,0.59131676,0.0303,0.04285714285714286
0.23245797,0.36532345,0.05,0.02665714285714286
-1.5208921,0.414815,0.031657142857142856,0.04812857142857143
0.72486603,-1.4387364,0.03542857142857143,0.05
-1.6940027,0.49655765,0.03112857142857143,0.04757142857142857
-2.1133473,0.6280182,0.0303,0.04285714285714286
1.0303828,0.24766594,0.047328571428571435,0.03517142857142857
-0.40155795,0.26651508,0.05,0.03545714285714286
0.6446417,1.4608405,0.05,0.03981428571428572
1.4582767,0.35958534,0.04818571428571429,0.034871428571428574
1.1167655,0.2582524,0.047,0.034742857142857145
1.3021469,0.23660369,0.0466,0.03482857142857143
-0.7043234,-1.3696585,0.03724285714285715,0.05
-1.3442929,-1.4203928,0.034614285714285715,0.04525714285714286
0.6259094,-1.54382,0.03548571428571429,0.05
-0.23976646,1.594563,0.05,0.03498571428571429
-0.2641923,1.6032468,0.05,0.033914285714285716
-0.26927555,1.1115152,0.05,0.03444285714285714
0.68728423,-1.5015916,0.03668571428571429,0.05
1.076486,0.500054,0.047414285714285714,0.03467142857142857
1.3015873,0.19752203,0.04792857142857143,0.03514285714285714
0.6380081,1.406557,0.05,0.040100000000000004
-1.2498325,-1.5049855,0.034614285714285715,0.04435714285714286
0.7014521,-1.2187203,0.0353,0.05
1.3749015,0.5380997,0.04680000000000001,0.034999999999999996
0.6463881,1.4635493,0.05,0.038971428571428574
1.0321327,0.16830935,0.04630000000000001,0.033485714285714285
-0.5223766,-0.068952225,0.05,0.03465714285714286
-1.620243,0.46378928,0.03194285714285715,0.0489
-2.148792,0.6246319,0.0303,0.04285714285714286
-0.73060334,0.33292806,0.03217142857142857,0.04978571428571429
-0.17174426,-1.00254,0.013714285714285715,0.013942857142857144
0.09872586,0.22951452,0.05,0.027185714285714285
0.44657984,-1.5612028,0.0344,0.05
1.3900317,0.8580294,0.047457142857142864,0.034228571428571435
0.691701,-1.4894017,0.03592857142857143,0.05
0.323619,0.38969937,0.05,0.024471428571428575
1.4073155,0.81470543,0.048157142857142864,0.03467142857142857
-1.4871659,-1.5749738,0.0349,0.04454285714285715
0.107907124,0.03593689,0.05,0.03535714285714286
1.0866206,0.25745818,0.04705714285714286,0.0351
0.15300232,0.31574893,0.05,0.02767142857142857
-0.5652271,0.2167871,0.05,0.03475714285714286
-0.79718214,-1.7252965,0.05,0.032900000000000006
0.3010166,0.12040867,0.05,0.0246
-0.614278,-1.66735,0.05,0.032914285714285715
-0.6730848,-1.6528788,0.05,0.03292857142857143
-0.6457379,-1.5332053,0.05,0.03287142857142857
-0.5877171,-1.6259654,0.05,0.03305714285714286
-0.7306647,-1.6906849,0.05,0.0327
0.43832368,0.08758191,0.05,0.025157142857142857
-0.53422546,0.35105827,0.05,0.034685714285714285
0.045495536,-0.07793481,0.05,0.027085714285714286
1.237416,0.40190133,0.04794285714285715,0.035114285714285716
1.3711296,0.8548303,0.04794285714285715,0.035042857142857146
0.696405,-1.4689368,0.03611428571428572,0.05
0.4173875,0.4985003,0.05,0.0245
0.45594266,-1.2223547,0.03617142857142857,0.05
1.5323855,0.6275313,0.04744285714285715,0.034300000000000004
0.7132286,-1.3218753,0.03648571428571429,0.05
0.09028813,0.16572979,0.05,0.027585714285714286
0.015754588,-0.11336814,0.05,0.026671428571428575
-0.16877528,-0.9597133,0.013714285714285715,0.013942857142857144
-1.8978633,0.6983314,0.032542857142857144,0.04921428571428572
-1.9678985,0.5292243,0.0303,0.04285714285714286
-0.7447543,0.4169989,0.03211428571428571,0.05
-0.57068247,-0.04527596,0.05,0.03442857142857143
1.1070042,0.22986484,0.04711428571428572,0.03458571428571429
0.5586574,1.4438958,0.05,0.03911428571428571
1.283977,0.27490705,0.046914285714285714,0.03475714285714286
0.42159948,0.84755635,0.05,0.03547142857142857
-1.4511417,-1.5323673,0.03415714285714286,0.04391428571428572
1.2468059,0.25811487,0.04762857142857144,0.03525714285714286
1.1075748,0.602573,0.04742857142857143,0.034614285714285715
0.6440137,1.4814276,0.05,0.0398
0.76036376,-1.11677,0.03768571428571429,0.05
-0.22121768,1.5828898,0.05,0.0351
-0.12722322,1.6040362,0.05,0.034728571428571435
1.3201798,0.65026426,0.047414285714285714,0.03495714285714286
0.5529631,1.412449,0.05,0.03917142857142858
0.6544898,1.4122204,0.05,0.03868571428571429
1.2021006,0.3641596,0.04751428571428572,0.03521428571428572
0.7255105,0.8912977,0.015128571428571429,0.02142857142857143
-1.3065108,-1.5729256,0.03521428571428572,0.04472857142857143
0.62089884,-1.1477244,0.034814285714285714,0.05
1.0749898,0.5154401,0.04704285714285714,0.03435714285714286
0.15067546,1.4221375,0.038700000000000005,0.05
-0.225142,-0.93504953,0.013714285714285715,0.013942857142857144
0.13092963,0.25167856,0.05,0.027414285714285714
0.0911468,0.18038584,0.05,0.02632857142857143
-1.7476915,0.5043904,0.03211428571428571,0.049542857142857145
0.668122,0.39175203,0.05,0.038642857142857145
-1.6601976,0.4807648,0.03245714285714286,0.04961428571428572
-2.0035732,0.5576268,0.0303,0.04285714285714286
0.63176244,-1.3944093,0.035228571428571435,0.05
